Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Replit 100 Days of Python: Day 0,08/16/2024,01:00 PM,08/16/2024,02:00 PM,False,"Course Overview (YouTube): 0:31
Where do I find it? (YouTube): 1:26",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 1,08/17/2024,01:00 PM,08/17/2024,02:00 PM,False,"Tutorial Video (YouTube): 9:19
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 2,08/18/2024,01:00 PM,08/18/2024,02:00 PM,False,"Tutorial Video (YouTube): 7:23
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 3,08/19/2024,01:00 PM,08/19/2024,02:00 PM,False,"Tutorial Video (YouTube): 4:37
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 4,08/20/2024,01:00 PM,08/20/2024,02:00 PM,False,"Tutorial Video (YouTube): 3:20
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 5,08/21/2024,01:00 PM,08/21/2024,02:00 PM,False,"Tutorial Video (YouTube): 9:09
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 6,08/22/2024,01:00 PM,08/22/2024,02:00 PM,False,"Tutorial Video (YouTube): 6:55
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 7,08/23/2024,01:00 PM,08/23/2024,02:00 PM,False,"Tutorial Video (YouTube): 6:48
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 8,08/24/2024,01:00 PM,08/24/2024,02:00 PM,False,"Tutorial Video (YouTube): 4:21
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 9,08/25/2024,01:00 PM,08/25/2024,02:00 PM,False,"Tutorial Video (YouTube): 8:57
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 10,08/26/2024,01:00 PM,08/26/2024,02:00 PM,False,"Tutorial Video (YouTube): 5:00
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 11,08/27/2024,01:00 PM,08/27/2024,02:00 PM,False,"Tutorial Video (YouTube): 1:56
Challenge (Replit): ",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 12,08/28/2024,01:00 PM,08/28/2024,02:00 PM,False,"Tutorial Video (YouTube): 1:19
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 13,08/29/2024,01:00 PM,08/29/2024,02:00 PM,False,"Tutorial Video (YouTube): 2:05
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 14,08/30/2024,01:00 PM,08/30/2024,02:00 PM,False,"Tutorial Video (YouTube): 2:14
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 15,08/31/2024,01:00 PM,08/31/2024,02:00 PM,False,"Tutorial Video (YouTube): 8:02
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 16,09/01/2024,01:00 PM,09/01/2024,02:00 PM,False,"Tutorial Video (YouTube): 6:53
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 17,09/02/2024,01:00 PM,09/02/2024,02:00 PM,False,"Tutorial Video (YouTube): 6:08
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 18,09/03/2024,01:00 PM,09/03/2024,02:00 PM,False,"Tutorial Video (YouTube): 1:39
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 19,09/04/2024,01:00 PM,09/04/2024,02:00 PM,False,"Tutorial Video (YouTube): 6:41
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 20,09/05/2024,01:00 PM,09/05/2024,02:00 PM,False,"Tutorial Video (YouTube): 6:38
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 21,09/06/2024,01:00 PM,09/06/2024,02:00 PM,False,"Tutorial Video (YouTube): 1:45
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 22,09/07/2024,01:00 PM,09/07/2024,02:00 PM,False,"Tutorial Video (YouTube): 6:37
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 23,09/08/2024,01:00 PM,09/08/2024,02:00 PM,False,"Tutorial Video (YouTube): 7:53
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 24,09/09/2024,01:00 PM,09/09/2024,02:00 PM,False,"Tutorial Video (YouTube): 5:53
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 25,09/10/2024,01:00 PM,09/10/2024,02:00 PM,False,"Tutorial Video (YouTube): 6:23
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 26,09/11/2024,01:00 PM,09/11/2024,02:00 PM,False,"Tutorial Video (YouTube): 5:03
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 27,09/12/2024,01:00 PM,09/12/2024,02:00 PM,False,"Tutorial Video (YouTube): 1:35
Solution Video (YouTube): 9:08
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 28,09/13/2024,01:00 PM,09/13/2024,02:00 PM,False,"Tutorial Video (YouTube): 9:08
Solution Video (YouTube): 15:06
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 29,09/14/2024,01:00 PM,09/14/2024,02:00 PM,False,"Tutorial Video (YouTube): 8:37
Solution Video (YouTube): 4:38
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 30,09/15/2024,01:00 PM,09/15/2024,02:00 PM,False,"Tutorial Video (YouTube): 9:28
Solution Video (YouTube): 4:35
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 31,09/16/2024,01:00 PM,09/16/2024,02:00 PM,False,"Tutorial Video (YouTube): 1:13
Solution Video (YouTube): 10:20
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 32,09/17/2024,01:00 PM,09/17/2024,02:00 PM,False,"Tutorial Video (YouTube): 12:01
Solution Video (YouTube): 1:27
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 33,09/18/2024,01:00 PM,09/18/2024,02:00 PM,False,"Tutorial Video (YouTube): 12:23
Solution Video (YouTube): 5:08
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 34,09/19/2024,01:00 PM,09/19/2024,02:00 PM,False,"Tutorial Video (YouTube): 10:49
Solution Video (YouTube): 3:12
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 35,09/20/2024,01:00 PM,09/20/2024,02:00 PM,False,"Tutorial Video (YouTube): 1:58
Solution Video (YouTube): 4:22
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
Replit 100 Days of Python: Day 36,09/21/2024,01:00 PM,09/21/2024,02:00 PM,False,"Tutorial Video (YouTube): 9:22
Solution Video (YouTube): 5:02
Challenge (Replit)",https://replit.com/learn/100-days-of-python/hub,False
